Symbol,Name,Last,Change,%Chg,"IV Rank","Options Vol","% Put","% Call","P/C Vol",Time
TSLA,"Tesla Inc",248.38,-3.22,-1.28%,21.86%,1752662,54.1%,45.9%,1.1794832894783,"09:09 ET"
NVDA,"Nvidia Corp",446.75,-1.07,-0.24%,11.25%,945967,48.0%,52.0%,0.92149036479122,"09:09 ET"
AAPL,"Apple Inc",172.4,-1.35,-0.78%,35.66%,623241,46.6%,53.4%,0.87421737326108,"09:09 ET"
AMZN,"Amazon.com Inc",128.4,-1.06,-0.82%,44.23%,547215,32.3%,67.7%,0.47770540676291,"09:09 ET"
AMD,"Adv Micro Devices",102.05,-1.22,-1.18%,33.29%,298776,44.5%,55.5%,0.80258101104682,"09:09 ET"
META,"Meta Platforms Inc",305.47,-1.35,-0.44%,48.44%,276893,46.4%,53.6%,0.86697547720668,"09:09 ET"
MSFT,"Microsoft Corp",319.5,-2.3,-0.71%,43.59%,250054,34.8%,65.2%,0.53475154669547,"09:09 ET"
RIVN,"Rivian Automotive Inc Cl A",23.29,-0.37,-1.56%,24.60%,225184,30.9%,69.1%,0.4461662952521,"09:09 ET"
MARA,"Marathon Digital Hldgs Inc",8.35,-0.18,-2.09%,10.29%,219700,30.0%,70.0%,0.42772661992059,"09:09 ET"
PLTR,"Palantir Technologies Inc Cl A",15.65,-0.23,-1.45%,17.29%,211116,33.1%,66.9%,0.49564305651983,"09:09 ET"
BAC,"Bank of America Corp",26.54,-0.16,-0.60%,41.11%,208176,44.8%,55.2%,0.81071419252146,"09:09 ET"
GOOGL,"Alphabet Cl A",133.3,-0.87,-0.65%,42.59%,179513,42.8%,57.2%,0.74914497851484,"09:09 ET"
NEE,"Nextera Energy",51.1,-1.05,-2.01%,95.44%,162815,60.2%,39.8%,1.5144008771794,"09:09 ET"
AMC,"Amc Entertainment Holdings",8.07,-0.08,-0.98%,8.10%,157015,31.3%,68.7%,0.45527091404527,"09:09 ET"
RIOT,"Riot Platforms Inc",9.66,-0.22,-2.23%,15.99%,137657,32.3%,67.7%,0.47787857641312,"09:09 ET"
GOOG,"Alphabet Cl C",134.31,-0.86,-0.64%,47.62%,122892,36.9%,63.1%,0.58517142636019,"09:09 ET"
BA,"Boeing Company",187.25,-0.58,-0.31%,31.07%,113431,36.0%,64.0%,0.56157160753865,"09:09 ET"
COIN,"Coinbase Global Inc Cl A",74.72,-0.59,-0.78%,17.51%,110604,31.7%,68.3%,0.46481783145933,"09:09 ET"
PFE,"Pfizer Inc",33.78,-0.16,-0.47%,65.75%,110323,23.3%,76.7%,0.30316095348343,"09:09 ET"
NIO,"Nio Inc ADR",8.53,-0.26,-2.96%,17.62%,110226,34.3%,65.7%,0.52182797183488,"09:09 ET"
NKLA,"Nikola Corp",1.36,-0.05,-3.55%,30.05%,109312,50.4%,49.6%,1.0151163219408,"09:09 ET"
XOM,"Exxon Mobil Corp",114.65,-0.98,-0.85%,28.89%,107998,33.7%,66.3%,0.50822556768986,"09:08 ET"
SQ,"Block Inc",42.66,-0.53,-1.23%,43.06%,104763,39.9%,60.1%,0.66422557585385,"09:09 ET"
NFLX,"Netflix Inc",377.5,-2.83,-0.74%,29.08%,101614,46.6%,53.4%,0.87196492391585,"09:09 ET"
CVNA,"Carvana Company Cl A",38.8,-0.45,-1.15%,13.55%,97897,39.7%,60.3%,0.65741712660414,"09:09 ET"
TGT,"Target Corp",106.27,-0.42,-0.39%,34.22%,95593,49.9%,50.1%,0.99642872060482,"09:09 ET"
DIS,"Walt Disney Company",81.05,-0.62,-0.76%,18.75%,93104,46.1%,53.9%,0.8552896399179,"09:09 ET"
DVN,"Devon Energy Corp",45.25,-0.4,-0.88%,25.60%,91176,27.7%,72.3%,0.38245997088792,"09:09 ET"
SOFI,"Sofi Technologies Inc",7.76,-0.08,-1.03%,39.58%,91171,26.4%,73.6%,0.35889524831575,"09:09 ET"
NKE,"Nike Inc",93.81,-0.75,-0.79%,11.09%,90773,63.1%,36.9%,1.7115034202587,"09:09 ET"
KDP,"Keurig Dr Pepper Inc",31.21,-0.36,-1.14%,58.78%,90505,99.3%,0.7%,134.89339339339,2023-10-02
INTC,"Intel Corp",35.03,-0.43,-1.21%,49.73%,89319,42.6%,57.4%,0.74179017160686,"09:09 ET"
CCL,"Carnival Corp",13.45,-0.19,-1.39%,7.39%,88818,31.4%,68.6%,0.45679700826663,"09:09 ET"
F,"Ford Motor Company",12.22,-0.09,-0.73%,42.31%,88211,52.9%,47.1%,1.1253102035899,"09:09 ET"
KO,"Coca-Cola Company",55.3,-0.18,-0.32%,40.40%,85007,71.0%,29.0%,2.446183159687,"09:09 ET"
BABA,"Alibaba Group Holding ADR",84.59,-1.94,-2.24%,6.92%,84157,42.3%,57.7%,0.73183932172696,"09:09 ET"
GME,"Gamestop Corp",15.29,-0.1,-0.65%,9.24%,83135,29.8%,70.2%,0.42395902916945,"09:09 ET"
CSCO,"Cisco Systems Inc",53.7,-0.69,-1.27%,16.41%,81872,14.3%,85.7%,0.16668329177057,"09:07 ET"
PLUG,"Plug Power Inc",6.74,-0.09,-1.25%,40.62%,81556,29.3%,70.7%,0.41452754266685,"09:09 ET"
SNAP,"Snap Inc",8.62,-0.12,-1.37%,56.72%,81203,12.3%,87.7%,0.1404275040728,"09:09 ET"
T,"AT&T Inc",14.68,0.01,+0.07%,58.25%,80914,30.2%,69.8%,0.43352703564595,"09:09 ET"
WFC,"Wells Fargo & Company",39.41,-0.2,-0.50%,44.37%,77852,41.0%,59.0%,0.69361294813784,"09:09 ET"
VFS,"Vinfast Auto Ltd",9.06,-0.74,-7.55%,21.78%,76976,53.9%,46.1%,1.1691934847546,"09:09 ET"
CCJ,"Cameco Corp",37.04,-0.53,-1.41%,38.16%,76389,46.3%,53.7%,0.86119435713764,"09:09 ET"
DKNG,"Draftkings Inc",28.61,-0.43,-1.48%,6.85%,73765,73.4%,26.6%,2.7579601609863,"09:08 ET"
C,"Citigroup Inc",40.16,-0.34,-0.84%,45.92%,73501,28.1%,71.9%,0.39140558447705,"09:09 ET"
PYPL,"Paypal Holdings",58,-0.56,-0.96%,37.79%,73259,37.5%,62.5%,0.59936688134483,"09:09 ET"
MU,"Micron Technology",67.17,-0.79,-1.16%,10.68%,70655,49.8%,50.2%,0.99218970281396,"09:08 ET"
OXY,"Occidental Petroleum Corp",61.99,-0.31,-0.50%,23.15%,69673,45.3%,54.7%,0.82672190031724,"09:09 ET"
VZ,"Verizon Communications Inc",31.77,0.01,+0.03%,51.56%,65001,33.7%,66.3%,0.50905418581975,"09:09 ET"
UBER,"Uber Technologies Inc",45.08,-0.6,-1.31%,31.65%,60573,39.0%,61.0%,0.6381264028991,"09:08 ET"
GM,"General Motors Company",32.14,-0.33,-1.02%,39.18%,57902,57.3%,42.7%,1.3444003563042,"09:09 ET"
VALE,"Vale S.A. ADR",13.04,-0.18,-1.36%,27.24%,56972,68.8%,31.2%,2.2100518368267,"09:09 ET"
AAL,"American Airlines Gp",12.65,-0.1,-0.78%,37.14%,56720,47.8%,52.2%,0.9158278727285,"09:09 ET"
FSR,"Fisker Inc",6.5,-0.12,-1.81%,32.98%,55735,33.3%,66.7%,0.49946193166532,"09:09 ET"
JPM,"JP Morgan Chase & Company",142.89,-0.88,-0.61%,35.55%,54953,38.1%,61.9%,0.61474494593324,"09:08 ET"
TLRY,"Tilray Brands Inc",2.23,-0.04,-1.76%,19.46%,51929,21.5%,78.5%,0.27445638835714,"09:09 ET"
TSM,"Taiwan Semiconductor ADR",86.92,-0.73,-0.83%,24.10%,51462,48.1%,51.9%,0.92813787935556,"09:09 ET"
ENPH,"Enphase Energy Inc",115.5,-1.34,-1.15%,63.24%,50860,42.0%,58.0%,0.72336676606126,"09:09 ET"
WBA,"Walgreens Boots Alliance",22.3,-0.12,-0.54%,91.24%,50236,53.7%,46.3%,1.1591094683457,"09:08 ET"
SGEN,"Seagen Inc",211.74,-0.41,-0.19%,23.56%,49581,95.3%,4.7%,20.062446898895,2023-10-02
